Hours_Studied,Attendance,Previous_Scores,Parental_Involvement,Learning_Disabilities,Access_to_Resources,Distance_from_Home,Tutoring_Sessions,Exam_Score
28,95,67,High,No,Medium,Near,2,73
8,71,77,High,No,Medium,Moderate,0,61
27,91,70,Low,No,High,Moderate,1,70
18,65,53,Medium,Yes,Medium,Near,1,63
21,73,90,High,No,High,Near,0,68
27,97,72,High,No,High,Near,6,76
17,87,60,Medium,Yes,Medium,Near,4,67
11,76,71,Medium,No,Medium,Near,1,62
22,63,99,Medium,No,Medium,Moderate,3,65
17,92,99,Medium,No,Medium,Far,1,68
15,67,94,Medium,No,Low,Near,0,64
20,92,66,Medium,Yes,Medium,Moderate,2,68
20,71,75,Medium,No,Medium,Near,0,65
10,79,73,High,No,Medium,Near,1,63
24,63,59,High,Yes,Medium,Near,1,62
26,78,67,High,No,High,Moderate,1,69
14,85,77,High,No,High,Near,2,69
27,81,93,Medium,No,High,Near,0,72
22,90,62,Low,No,Medium,Near,0,67
20,61,80,High,No,Medium,Near,1,65
15,71,60,Low,No,Medium,Far,5,63
10,76,68,Medium,No,Low,Near,1,63
26,71,77,Low,No,Medium,Near,0,66
22,82,83,High,Yes,High,Moderate,1,69
20,89,74,High,No,Medium,Moderate,1,69
18,86,69,High,No,Low,Near,2,68
14,93,75,Medium,No,Low,Moderate,0,65
22,63,53,High,No,High,Near,3,66
21,74,83,Medium,No,High,Moderate,1,67
8,73,80,Medium,No,High,Moderate,0,62
16,93,55,Medium,No,High,Near,2,67
27,64,56,High,No,Medium,Moderate,0,65
9,89,91,Low,No,High,Near,1,67
22,99,71,Medium,No,Medium,Near,0,72
26,100,76,High,No,High,Near,0,76
15,80,80,High,No,Medium,Moderate,1,65
20,66,79,Low,No,Low,Moderate,2,63
28,81,90,Medium,No,High,Moderate,3,72
14,96,76,Medium,No,Low,Moderate,0,66
16,86,98,Medium,No,Medium,Near,1,68
23,90,87,High,No,High,Near,1,72
10,89,69,Low,No,Low,Moderate,3,63
20,95,89,Low,Yes,Medium,Near,3,68
23,80,79,High,No,Medium,Near,1,69
16,73,75,Medium,No,Medium,Moderate,3,66
13,96,100,Medium,No,High,Near,4,71
12,79,73,Medium,No,Medium,Near,2,65
21,90,95,Low,No,Medium,Near,2,72
24,86,54,High,No,Low,Near,0,68
18,91,62,High,No,High,Near,3,71
23,81,69,High,No,Medium,Moderate,5,69
24,71,55,Medium,No,High,Far,2,67
24,69,69,High,No,Medium,Near,7,70
20,78,77,Medium,No,Medium,Moderate,3,67
31,89,70,Medium,No,Medium,Moderate,2,71
33,71,60,Medium,Yes,Low,Near,0,67
14,96,97,Medium,No,High,Near,2,70
25,100,85,High,No,Low,Near,1,72
18,89,52,High,No,Low,Near,1,69
21,77,59,Medium,No,Low,Near,3,66
24,70,59,Medium,No,High,Near,2,67
24,80,69,Medium,No,Medium,Far,0,67
14,97,72,Medium,No,Low,Near,1,66
14,95,57,High,No,Medium,Near,2,68
21,88,80,Low,Yes,Medium,Near,1,67
29,77,52,Medium,No,Medium,Near,5,70
21,63,64,Medium,No,Medium,Near,0,62
16,92,90,Medium,No,Medium,Near,6,72
16,95,88,Medium,No,Low,Near,2,70
24,60,83,Medium,Yes,High,Near,2,66
23,99,89,Medium,No,High,Near,1,73
24,68,71,Medium,No,Medium,Near,2,66
19,85,84,High,No,High,Near,3,70
18,64,51,Medium,No,Medium,Near,2,62
30,67,97,Medium,Yes,Medium,Near,2,69
20,66,54,Low,No,Medium,Near,2,63
14,61,54,Medium,Yes,High,Near,3,60
29,74,64,Medium,No,Low,Moderate,2,66
17,65,55,High,No,High,Near,1,64
24,94,60,Low,No,Medium,Near,0,68
11,94,61,High,No,Low,Moderate,1,66
15,64,55,High,No,High,Near,1,64
21,77,88,Medium,No,Medium,Moderate,2,68
23,76,85,Medium,Yes,High,Far,2,66
15,82,93,Medium,No,Medium,Moderate,3,66
27,86,59,Low,No,Medium,Near,1,68
22,76,82,Medium,No,Medium,Near,0,67
13,88,68,Medium,No,Medium,Near,1,67
24,84,61,Medium,No,Medium,Far,2,68
16,94,56,Low,No,Low,Near,2,66
15,61,59,Medium,No,Medium,Near,0,61
17,67,51,High,No,Medium,Near,3,65
17,88,94,High,No,High,Near,2,71
22,79,98,Medium,No,Medium,Near,0,69
24,93,62,Medium,No,High,Near,1,70
19,79,59,High,Yes,Medium,Moderate,1,65
27,72,53,High,No,High,Far,3,68
15,66,63,Medium,No,Medium,Near,3,63
22,78,96,Medium,No,Medium,Moderate,0,67
14,62,73,Medium,No,Medium,Near,1,61
19,99,54,Medium,No,High,Near,0,70
23,82,83,Medium,No,High,Moderate,2,71
21,88,59,Medium,No,Medium,Near,2,67
27,63,86,Medium,No,Medium,Near,1,68
8,88,92,Medium,No,Medium,Near,1,66
11,92,84,High,No,High,Near,2,68
24,88,74,Medium,No,High,Near,0,71
15,95,70,High,Yes,Low,Near,2,68
23,65,74,High,No,Medium,Moderate,2,67
27,91,82,Low,No,High,Far,0,69
29,96,55,Medium,No,Medium,Far,0,70
13,67,80,Medium,No,Medium,Moderate,1,62
29,77,84,Medium,No,Medium,Near,0,69
19,83,69,High,No,Low,Far,5,69
24,77,92,Low,No,Medium,Moderate,0,67
17,61,82,Low,No,Medium,Near,0,63
5,93,63,Low,No,Low,Near,2,64
20,93,63,Medium,No,Low,Moderate,0,66
28,85,98,Medium,Yes,High,Near,2,72
19,76,66,Medium,No,Low,Near,1,65
22,61,77,High,No,Medium,Moderate,1,65
22,65,81,Low,No,Low,Near,1,63
23,78,81,Low,No,High,Near,0,66
11,75,64,Low,Yes,High,Moderate,3,62
17,72,61,Medium,No,Medium,Moderate,1,64
23,69,86,High,No,Low,Far,0,66
19,95,95,Medium,No,Medium,Near,0,71
20,68,82,Medium,No,High,Near,1,67
16,76,59,Medium,No,Medium,Near,0,62
8,82,86,Medium,No,High,Near,0,64
20,89,91,Medium,No,High,Near,2,72
25,79,54,Medium,No,Low,Far,1,66
23,73,50,High,No,High,Near,1,68
22,65,91,High,No,Low,Moderate,2,65
26,80,94,Medium,No,Medium,Moderate,1,70
12,69,53,High,No,High,Near,2,64
23,91,67,High,No,High,Near,2,72
20,61,78,Low,No,High,Near,0,63
16,69,56,Medium,No,Medium,Near,2,63
21,93,83,Medium,Yes,Low,Moderate,1,67
30,80,67,Low,No,High,Moderate,3,69
21,100,92,Medium,Yes,Medium,Near,3,71
34,61,75,Low,No,Medium,Far,1,65
21,83,75,Medium,No,Medium,Far,1,67
12,96,71,Low,No,Medium,Near,2,68
26,76,95,Low,No,Low,Near,1,67
20,71,93,High,No,Medium,Near,2,68
16,86,78,High,No,Medium,Moderate,1,68
29,93,82,Medium,No,High,Moderate,5,73
25,65,94,Low,No,Medium,Near,1,65
19,66,59,High,No,High,Moderate,1,65
28,66,98,Medium,No,Low,Near,0,67
16,67,88,High,No,Medium,Near,0,65
21,67,77,Medium,No,Medium,Moderate,3,66
21,78,72,Medium,No,Medium,Near,1,68
30,63,97,High,Yes,Low,Moderate,2,67
23,88,59,Low,No,Medium,Near,1,67
18,72,95,High,No,High,Moderate,1,67
14,100,76,Medium,No,Low,Near,1,68
18,62,89,Medium,No,High,Near,0,66
29,70,91,Medium,No,Medium,Near,2,69
21,82,54,Low,No,Low,Moderate,3,65
26,62,86,Low,No,High,Near,2,66
21,90,61,Medium,No,Medium,Moderate,1,69
19,60,60,High,No,High,Near,1,65
28,87,95,Medium,No,Medium,Near,2,73
11,87,92,Medium,No,Medium,Moderate,1,67
20,71,65,Medium,No,Medium,Moderate,2,64
13,61,73,Low,No,Low,Near,2,59
15,69,92,Medium,No,High,Moderate,0,63
25,83,88,Low,Yes,Medium,Near,1,68
26,89,61,Medium,No,Low,Moderate,0,68
24,76,59,Medium,No,Low,Far,2,66
12,100,65,Low,No,Medium,Near,1,67
25,61,81,Medium,No,Medium,Moderate,0,65
20,77,61,Medium,No,Low,Near,2,65
26,88,62,Low,No,High,Near,1,70
17,96,97,Medium,No,Low,Near,0,67
18,98,82,High,No,Low,Near,3,71
21,78,84,High,No,Medium,Near,1,68
25,70,73,Low,No,High,Near,2,67
4,83,99,High,No,Medium,Near,1,64
18,67,68,High,No,High,Near,0,66
16,66,68,High,No,High,Moderate,2,65
14,65,94,Medium,No,Medium,Moderate,5,65
22,62,60,Low,No,Medium,Near,0,61
3,96,62,High,No,High,Far,3,66
25,64,89,Medium,No,High,Far,2,66
18,64,68,Medium,No,Low,Near,1,62
20,64,53,Medium,No,High,Moderate,4,65
31,72,98,Medium,No,Medium,Far,0,68
15,94,84,Medium,No,Medium,Moderate,0,68
19,85,78,High,No,High,Near,2,69
23,86,71,Medium,No,Medium,Near,3,71
8,90,79,High,No,High,Near,2,68
24,86,98,Low,No,Low,Far,2,71
21,95,87,Medium,No,Low,Near,2,70
14,68,87,High,No,Low,Far,2,64
7,88,64,Medium,No,High,Moderate,2,66
15,76,76,High,No,High,Far,1,67
18,79,58,Low,No,Medium,Near,3,65
13,66,71,High,No,Medium,Near,3,64
21,84,52,Medium,No,Medium,Moderate,2,68
25,85,95,Low,No,Medium,Near,0,69
23,64,91,Low,No,Medium,Far,2,63
9,69,80,Low,No,Medium,Moderate,1,61
20,63,76,Low,No,Low,Near,3,64
22,93,74,High,No,Medium,Far,2,70
9,87,82,High,No,Medium,Near,0,65
23,77,72,Medium,No,Medium,Moderate,2,69
26,96,64,High,Yes,High,Near,2,72
18,75,59,Low,Yes,Medium,Near,0,62
16,100,63,High,No,Low,Moderate,2,69
19,100,55,High,No,Low,Moderate,2,69
22,67,53,Low,No,High,Far,0,62
20,89,74,Low,No,Low,Far,1,66
21,90,60,Low,No,Medium,Near,1,66
20,68,85,High,No,Medium,Far,1,65
24,91,56,Low,No,High,Moderate,1,70
28,87,70,Medium,No,Medium,Near,2,71
22,83,66,Medium,No,Low,Near,2,67
20,92,82,Low,No,High,Near,0,69
35,93,94,Medium,Yes,Medium,Near,5,76
16,82,99,Medium,No,Medium,Near,3,69
23,81,85,Medium,No,Medium,Near,0,68
22,73,70,High,No,Medium,Near,2,66
29,69,58,Medium,No,Medium,Near,1,66
35,64,51,Medium,Yes,Medium,Near,2,66
11,64,78,High,No,Medium,Moderate,2,62
19,79,60,Medium,Yes,Medium,Near,1,63
30,89,89,Medium,No,Medium,Moderate,3,74
28,68,63,High,No,Medium,Near,0,67
25,97,77,Medium,No,Medium,Near,1,73
22,98,56,Low,No,Medium,Near,1,70
21,66,52,Medium,No,Medium,Far,1,63
17,98,62,Medium,No,Low,Near,1,68
20,95,87,High,No,Medium,Moderate,0,71
26,71,99,Low,No,High,Near,1,68
12,92,90,High,No,Medium,Near,2,69
23,68,55,Medium,No,Medium,Moderate,0,64
26,92,64,Medium,No,Medium,Near,1,71
31,95,87,High,No,Medium,Moderate,2,75
21,89,76,Low,No,Medium,Far,3,68
20,69,81,Medium,No,Medium,Near,2,67
27,90,67,Medium,No,Low,Near,2,70
28,64,78,High,No,Low,Moderate,3,69
17,76,73,Medium,No,Medium,Near,3,67
8,73,65,Low,No,Medium,Moderate,1,61
17,96,54,Medium,No,Medium,Near,1,69
8,82,59,High,No,Low,Near,1,62
24,88,88,Medium,No,Low,Moderate,2,71
18,94,71,Medium,No,Medium,Near,3,71
23,72,84,Low,No,High,Near,1,67
28,89,82,High,No,High,Far,0,72
6,76,63,Medium,No,Medium,Near,5,64
26,79,90,Low,Yes,High,Moderate,0,66
13,62,56,Medium,Yes,Medium,Near,1,60
14,71,77,High,No,High,Near,0,64
21,89,76,High,No,High,Near,1,71
32,79,61,Low,No,High,Near,0,70
30,71,98,Low,No,High,Moderate,2,69
28,91,90,Low,No,Medium,Near,2,71
21,71,54,Medium,No,Medium,Near,1,64
4,80,51,Low,No,Medium,Near,4,62
22,66,63,Medium,No,Medium,Far,1,64
13,79,58,Low,No,Low,Moderate,2,63
18,91,71,High,No,High,Near,0,70
21,98,63,Medium,No,High,Near,0,70
13,88,61,High,No,Low,Near,4,66
24,90,65,Medium,No,Medium,Moderate,4,70
24,71,93,High,Yes,High,Near,2,69
19,95,97,Low,No,High,Near,0,71
24,75,51,High,No,High,Near,1,67
20,70,78,Medium,No,Medium,Near,0,66
25,87,74,Medium,Yes,Low,Near,0,67
23,90,76,Medium,No,High,Near,2,72
13,91,90,Low,Yes,Medium,Moderate,1,65
16,77,93,Medium,No,Medium,Moderate,1,66
17,92,90,Medium,No,Low,Near,1,68
21,69,86,High,No,High,Near,2,68
38,98,94,Low,No,Medium,Near,2,75
19,66,74,Medium,No,Medium,Near,1,64
25,98,90,Medium,No,Medium,Near,1,94
14,97,75,Medium,No,Medium,Near,1,70
30,61,64,High,No,High,Moderate,4,69
19,98,90,Medium,No,High,Far,1,70
10,76,80,Medium,No,Medium,Near,1,65
25,87,96,High,No,High,Moderate,3,72
25,81,86,Medium,No,Low,Near,1,68
21,87,66,Low,No,Medium,Moderate,1,65
22,99,95,Medium,Yes,High,Near,2,71
31,96,59,High,No,Medium,Near,3,75
23,92,54,Medium,Yes,Low,Near,3,70
15,91,75,Low,No,High,Near,4,68
12,76,71,Medium,No,Low,Near,0,61
30,62,97,Low,No,Low,Near,0,66
29,95,97,Low,Yes,Medium,Moderate,0,72
13,60,77,Medium,Yes,Medium,Near,2,61
25,99,58,Medium,No,High,Near,0,72
19,88,89,Medium,No,Medium,Near,3,71
14,97,54,Medium,No,Medium,Near,3,68
14,69,93,Medium,No,High,Near,2,63
20,64,82,Medium,No,High,Moderate,3,64
17,78,88,Medium,No,High,Near,0,65
16,64,65,High,No,Low,Moderate,3,65
21,68,50,High,No,High,Near,3,67
19,77,55,Low,No,Medium,Moderate,0,64
21,71,55,Medium,No,Medium,Moderate,1,63
12,64,51,Medium,No,Medium,Near,2,59
20,72,56,Medium,Yes,High,Moderate,0,63
19,60,73,Medium,No,Medium,Near,3,63
32,85,63,Medium,No,Low,Moderate,2,69
15,78,89,High,No,High,Near,0,67
21,90,76,High,No,High,Moderate,2,74
9,96,82,Medium,No,Medium,Near,0,67
10,82,82,High,No,Medium,Near,2,65
12,95,85,Medium,No,High,Near,2,70
25,95,96,High,No,Medium,Near,1,74
24,79,88,Low,No,High,Moderate,0,67
17,94,78,High,No,Medium,Near,1,70
7,66,68,High,Yes,Low,Moderate,0,57
14,81,90,Medium,No,High,Near,3,69
27,63,98,High,No,Medium,Moderate,1,67
20,87,60,Medium,Yes,High,Far,0,66
11,96,66,Medium,No,High,Moderate,2,68
26,81,67,Medium,No,Medium,Near,3,69
16,76,63,Medium,No,High,Near,0,86
14,90,66,Low,No,Medium,Near,1,67
33,66,59,Medium,No,Medium,Near,3,70
22,63,97,Medium,No,Medium,Moderate,1,66
22,86,67,Low,No,Medium,Near,0,68
14,75,95,Medium,No,Medium,Moderate,0,82
14,81,89,Low,No,Medium,Near,6,67
15,69,89,Medium,No,Medium,Moderate,1,63
19,83,54,High,No,Low,Moderate,1,66
20,65,58,High,No,Medium,Near,3,63
20,74,67,Low,Yes,Medium,Moderate,0,63
22,72,65,Medium,No,Low,Moderate,0,64
15,73,93,Low,No,High,Far,1,65
22,63,86,Low,No,High,Near,0,64
26,67,94,Medium,No,High,Near,0,68
24,80,99,Medium,No,High,Moderate,2,69
17,64,67,Medium,No,High,Near,3,64
22,61,84,Medium,No,Medium,Near,0,64
26,61,70,High,Yes,Medium,Moderate,1,65
12,80,71,Low,Yes,Low,Moderate,1,60
16,63,92,Medium,No,Low,Moderate,0,61
15,68,94,Low,No,Medium,Near,0,64
20,91,91,High,No,Medium,Near,3,72
18,63,52,Medium,No,Low,Moderate,2,63
17,85,74,Medium,No,Medium,Near,1,67
24,77,99,High,No,High,Near,1,70
20,66,90,Medium,No,Medium,Near,0,64
15,99,50,Low,No,High,Moderate,4,68
38,80,78,High,No,Medium,Far,1,72
20,96,92,Low,No,Medium,Near,0,70
28,83,81,High,No,Low,Moderate,0,68
32,75,97,High,No,Medium,Moderate,1,72
26,100,74,High,No,High,Far,1,72
12,81,85,Medium,Yes,Medium,Near,0,64
30,74,94,Medium,No,High,Near,0,70
12,62,66,Medium,No,Medium,Moderate,1,60
28,90,75,High,Yes,Low,Moderate,1,70
19,97,73,Low,No,Medium,Near,2,68
24,86,88,Medium,No,Medium,Far,1,69
16,91,63,Medium,No,Medium,Near,2,69
11,64,67,Medium,Yes,Low,Near,1,58
19,75,96,High,No,High,Near,2,70
24,70,52,Medium,No,High,Moderate,1,85
9,87,56,Medium,No,Medium,Moderate,1,65
10,75,81,High,No,Medium,Near,3,65
17,63,93,Medium,Yes,Medium,Near,0,63
38,63,52,Medium,No,High,Moderate,1,69
22,61,69,Medium,No,Medium,Far,2,63
20,90,56,Low,No,Medium,Moderate,3,66
19,88,86,Medium,Yes,High,Moderate,4,70
25,93,58,High,No,Medium,Moderate,0,71
20,95,74,Medium,No,Medium,Far,1,70
21,74,88,Low,No,Medium,Near,1,66
7,82,56,High,No,High,Far,0,62
12,72,67,Medium,No,Medium,Near,0,61
30,76,86,Medium,Yes,Medium,Far,1,69
26,74,89,Low,No,Low,Near,3,66
25,85,50,High,No,High,Moderate,1,70
15,86,97,Low,No,Medium,Near,2,67
21,92,51,Medium,No,Low,Moderate,0,66
21,84,51,High,No,High,Moderate,0,68
15,76,81,Medium,No,High,Moderate,2,67
33,78,72,Medium,No,Medium,Moderate,4,71
15,78,63,Medium,No,High,Far,2,65
23,98,88,Medium,No,Medium,Moderate,1,72
15,77,52,Medium,No,Medium,Near,1,64
21,86,57,High,No,High,Near,1,68
11,89,76,Medium,No,Low,Far,1,66
29,77,52,High,Yes,High,Near,2,69
19,81,85,Medium,No,Medium,Moderate,1,66
25,69,78,Low,No,High,Far,0,64
18,96,67,Medium,No,High,Near,1,71
5,83,61,Medium,No,Medium,Moderate,2,61
13,69,96,Medium,No,Low,Far,0,61
20,95,99,Medium,No,Medium,Near,1,70
24,84,82,Medium,No,Medium,Near,1,68
20,78,89,Low,No,Medium,Near,0,66
16,74,90,High,Yes,High,Near,1,66
22,78,91,Medium,No,Medium,Near,0,68
25,64,53,Medium,No,Medium,Near,1,64
11,66,74,Medium,No,Medium,Far,3,62
21,92,62,High,No,Low,Near,1,68
24,91,73,Low,No,Medium,Moderate,2,70
30,98,83,High,No,High,Near,1,76
7,82,99,Medium,No,High,Moderate,2,66
23,91,93,High,No,Medium,Moderate,3,71
8,68,96,High,No,Medium,Near,2,65
13,74,64,Medium,Yes,Medium,Near,4,63
11,94,92,Low,No,High,Near,0,68
25,76,59,High,No,High,Near,4,71
28,91,98,High,No,Medium,Near,2,75
28,78,84,Medium,No,High,Far,2,69
16,96,77,Medium,No,Medium,Near,1,71
19,93,80,High,No,High,Moderate,1,71
13,98,89,High,No,Medium,Near,1,70
25,74,88,High,Yes,High,Near,3,70
16,86,99,High,No,High,Near,4,72
17,68,63,Medium,No,Medium,Moderate,0,61
14,98,84,Medium,No,Medium,Near,3,70
18,65,96,High,No,Medium,Near,1,66
23,78,84,Low,No,Medium,Near,0,66
22,65,82,High,No,Low,Near,2,66
23,78,93,High,No,Low,Near,0,70
16,82,75,High,No,High,Moderate,3,68
17,70,75,High,Yes,Medium,Far,1,63
22,72,67,Low,No,Low,Far,2,64
17,68,100,Low,No,Medium,Moderate,1,64
22,81,87,High,No,Medium,Near,0,67
27,94,86,Medium,No,Low,Near,2,71
24,77,65,Low,No,High,Near,1,70
9,86,65,High,No,Medium,Near,0,66
10,63,77,Medium,No,High,Near,3,60
21,80,60,Low,No,High,Moderate,1,67
25,75,57,Low,No,High,Near,4,70
16,67,80,High,No,Medium,Near,1,64
29,92,58,Medium,No,High,Near,2,72
14,68,51,High,Yes,High,Moderate,1,63
16,98,60,Medium,No,Low,Far,1,67
21,69,62,Medium,No,Medium,Near,2,65
27,81,77,Medium,No,Low,Moderate,1,68
15,60,81,Medium,No,Medium,Near,4,63
25,66,71,Medium,Yes,High,Near,0,64
15,66,90,Medium,No,Medium,Far,2,62
10,63,59,High,No,Medium,Moderate,0,61
13,71,65,Medium,No,High,Near,2,66
19,74,85,Medium,No,Medium,Moderate,1,67
15,91,80,High,No,Medium,Near,0,69
25,67,93,High,Yes,Medium,Near,2,68
11,97,91,Medium,No,Medium,Near,1,69
24,61,83,Medium,Yes,Medium,Near,0,64
23,64,51,Medium,No,Medium,Near,1,64
15,96,59,Medium,No,High,Near,2,70
19,67,92,High,No,Medium,Moderate,2,68
15,64,93,Medium,No,Medium,Near,0,61
26,94,53,High,No,Low,Near,0,69
36,64,82,Medium,No,Medium,Near,2,70
14,74,100,High,No,Medium,Near,1,66
18,74,75,High,No,Medium,Moderate,1,68
25,75,82,Low,No,Low,Near,3,68
10,61,79,High,Yes,Low,Moderate,4,62
21,63,77,Low,No,Medium,Near,3,63
16,82,81,Medium,No,High,Near,1,68
21,74,61,Medium,No,High,Near,0,65
13,77,70,Medium,Yes,Medium,Near,3,64
19,65,69,High,No,Low,Far,4,64
23,88,66,Medium,No,Medium,Moderate,2,69
26,88,79,Medium,No,High,Moderate,1,72
28,79,82,High,No,Medium,Near,0,70
10,96,99,Medium,No,Medium,Near,1,68
12,95,82,Low,No,Medium,Moderate,2,66
13,97,81,Medium,No,Medium,Far,3,68
18,98,65,Low,No,Medium,Near,1,70
24,82,66,High,No,Medium,Near,0,69
25,94,76,Medium,Yes,Low,Moderate,1,69
16,61,51,Low,No,Medium,Near,1,59
12,83,85,High,No,Medium,Near,2,67
24,93,56,Low,No,High,Moderate,1,69
13,88,66,High,No,Medium,Near,1,67
4,100,71,High,No,Low,Moderate,2,64
22,60,83,Low,No,Low,Near,3,62
21,81,94,High,No,Medium,Moderate,3,70
19,72,91,Medium,No,Medium,Moderate,1,67
27,79,63,Low,No,High,Moderate,2,69
15,71,100,High,No,High,Near,2,66
10,94,71,High,No,Low,Moderate,1,67
25,69,63,Low,No,Medium,Near,1,65
22,72,71,Low,No,Medium,Near,1,64
23,63,87,Medium,No,Low,Near,1,64
37,73,71,Medium,No,High,Moderate,0,72
16,74,80,High,No,Medium,Near,0,66
26,64,91,High,No,Medium,Near,1,68
20,69,97,Medium,Yes,High,Near,3,68
10,85,92,Medium,Yes,High,Far,0,65
13,80,94,Medium,No,Medium,Near,1,67
34,84,95,Medium,No,High,Far,1,73
21,65,88,High,No,High,Near,2,65
24,78,95,High,No,Medium,Near,1,69
37,79,95,Medium,No,High,Near,1,73
17,76,81,Medium,No,Low,Near,4,65
22,76,84,High,No,Medium,Near,2,70
31,90,61,High,No,High,Near,0,72
24,84,93,Low,No,High,Near,2,70
22,92,82,High,No,Low,Near,2,72
11,63,51,Medium,Yes,High,Moderate,0,58
16,67,99,High,Yes,High,Moderate,2,64
25,82,94,High,No,High,Moderate,2,70
15,74,71,Low,No,Low,Near,0,61
39,67,76,High,No,High,Near,2,71
21,89,97,Medium,No,Medium,Far,1,68
21,63,70,Medium,No,Medium,Near,1,64
21,94,73,Medium,No,Medium,Near,2,71
24,71,65,High,No,Medium,Near,1,65
26,68,96,Medium,No,High,Near,1,69
24,82,77,Medium,No,Medium,Near,3,69
24,78,94,High,No,Low,Moderate,0,67
22,69,86,High,Yes,High,Moderate,1,67
19,85,86,Medium,No,Medium,Moderate,0,67
29,80,71,Medium,No,Medium,Moderate,0,70
22,67,70,Medium,No,High,Near,2,66
27,68,70,High,No,Medium,Near,0,68
23,87,98,Medium,No,Medium,Near,3,72
15,79,100,High,No,High,Near,4,70
2,99,52,Medium,No,Low,Near,0,62
17,81,54,High,No,Medium,Near,4,67
26,65,84,Medium,No,Medium,Near,1,68
16,81,74,Medium,No,Medium,Near,3,68
18,83,64,Medium,No,High,Near,1,66
18,93,55,Low,No,Medium,Moderate,3,67
21,94,95,Medium,No,High,Near,0,70
20,98,90,Medium,No,High,Near,2,73
21,94,64,Medium,No,Low,Near,2,68
24,72,73,Low,No,High,Near,2,67
17,80,59,High,No,Low,Near,0,66
27,68,66,Medium,No,Medium,Far,3,67
19,90,59,High,No,High,Moderate,3,70
35,65,84,High,No,Medium,Moderate,0,70
14,68,99,High,No,Medium,Near,0,66
19,87,74,Medium,No,Medium,Near,1,69
24,97,68,Medium,No,Medium,Near,1,72
21,74,64,High,No,Low,Far,3,80
17,92,90,High,No,High,Moderate,1,71
26,80,81,Medium,No,High,Near,0,70
16,93,71,Low,No,Medium,Near,0,67
21,89,57,Medium,No,Medium,Near,1,68
